Date,Pos
10/19/2024,2
10/20/2024,0
10/21/2024,0
10/22/2024,0
10/23/2024,0
10/24/2024,1
10/25/2024,0
10/26/2024,1
10/27/2024,0
10/28/2024,0
10/29/2024,0
10/30/2024,0
10/31/2024,1
11/1/2024,0
11/2/2024,0
11/3/2024,0
11/4/2024,0
11/5/2024,0
11/6/2024,0
11/7/2024,1
11/8/2024,0
11/9/2024,0
11/10/2024,3
11/11/2024,3
11/12/2024,5
11/13/2024,5
11/14/2024,6
11/15/2024,0
11/16/2024,0
11/17/2024,2
11/18/2024,3
11/19/2024,2
11/20/2024,5
11/21/2024,5
11/22/2024,0
11/23/2024,0
11/24/2024,5
11/25/2024,2
11/26/2024,3
11/27/2024,6
11/28/2024,2
11/29/2024,0
11/30/2024,0
12/1/2024,7
12/2/2024,2
12/3/2024,1
12/4/2024,6
12/5/2024,9
12/6/2024,0
12/7/2024,0
12/8/2024,11
12/9/2024,4
12/10/2024,8
12/11/2024,1
